zpid,id,lotId,imgSrc,hasImage,statusType,statusText,detailUrl,latLong,units,variableData,badgeInfo,buildingName,isBuilding,address,addressStreet,addressState,addressCity,addressZipcode,providerListingId,canSaveBuilding,has3DModel,isFeaturedListing,isSaved,list,relaxed,area,availabilityDate,baths,beds,countryCurrency,hasAdditionalAttributions,hasVideo,isHomeRec,isUndisclosedAddress,isUserClaimingOwner,isUserConfirmedClaim,isZillowOwned,pgapt,price,sgapt,shouldShowZestimateAsPrice,unformattedPrice,zestimate,streetViewMetadataURL,streetViewURL,best_deal
42.34766_rrc2*-rrc_71.134125,42.34766_rrc2*-rrc_71.134125,1001647887.0,https://photos.zillowstatic.com/fp/9d7e53a1a144caccb326ca61375004ab-p_e.jpg,1.0,FOR_RENT,Eco,/b/eco-allston-ma-5XksSc/,"{'latitude': 42.34766, 'longitude': -71.134125}","[{'price': '$2,389+', 'beds': '0'}, {'price': '$5,114+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,Eco,1.0,"75 Brainerd Rd, Allston, MA",75 Brainerd Rd   # 2e65be5ee,MA,Allston,02134,3wt4zuvcf22ck,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,0,,,
42.36334_rrc2*-rrc_71.130844,42.36334_rrc2*-rrc_71.130844,1141010815.0,https://photos.zillowstatic.com/fp/4e1e07a910f04b283e2bc591555d2918-p_e.jpg,True,FOR_RENT,Continuum,/b/continuum-allston-ma-63wRB2/,"{'latitude': 42.36334, 'longitude': -71.130844}","[{'price': '$3,600+', 'beds': '0'}, {'price': '$4,678+', 'beds': '1'}, {'price': '$5,604+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Continuum,True,"219 Western Ave, Allston, MA",219 Western Ave  # 3194430,MA,Allston,02134,1xq3f92jq7528,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,0,,,
42.35403_rrc2*-rrc_71.13918,42.35403_rrc2*-rrc_71.13918,1083915944.0,https://photos.zillowstatic.com/fp/38cd4c74b13c8808bce7b960280a0a91-p_e.jpg,True,FOR_RENT,Arthaus,/b/arthaus-allston-ma-5r38XY/,"{'latitude': 42.35403, 'longitude': -71.13918}","[{'price': '$3,350+', 'beds': '1'}, {'price': '$4,450+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Arthaus,True,"37 N Beacon St, Allston, MA",37 N  Beacon St   # 3590881,MA,Allston,02134,2pcrcynymq92w,True,True,True,False,True,False,,,,,,,,,,,,,,,,,,0,,,
42.347523_rrc2*-rrc_71.133156,42.347523_rrc2*-rrc_71.133156,1002119967.0,https://photos.zillowstatic.com/fp/802db1be13dcdff7d52a90eb3d8b47c2-p_e.jpg,True,FOR_RENT,Elements,/b/elements-allston-ma-5Xqt5v/,"{'latitude': 42.347523, 'longitude': -71.133156}","[{'price': '$3,287+', 'beds': '1'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Elements,True,"60 Brainerd Rd, Allston, MA",60 Brainerd Rd   # 0e344b909,MA,Allston,02134,46w9dxr9j730n,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,0,,,
42.347942_rrc2*-rrc_71.133675,42.347942_rrc2*-rrc_71.133675,1001477269.0,https://photos.zillowstatic.com/fp/6e627f9bb35e654590985c2ee5dd2c81-p_e.jpg,True,FOR_RENT,E3 Apartments,/b/e3-apartments-allston-ma-5XjQPc/,"{'latitude': 42.347942, 'longitude': -71.133675}","[{'price': '$3,220+', 'beds': '0'}, {'price': '$3,066+', 'beds': '1'}, {'price': '$4,187+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated today'}",,E3 Apartments,True,"65 Brainerd Rd, Allston, MA",65 Brainerd Rd   # 2091922,MA,Allston,02134,1r20cgvzftzwd,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,0,,,
2118492470,2118492470,,https://photos.zillowstatic.com/fp/94539c20d43c90eef9d6f465216af412-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/homedetails/15-Glenville-Ave-APT-B1-Boston-MA-02134/2118492470_zpid/,"{'latitude': 42.350956, 'longitude': -71.13235}",,"{'type': 'TIME_ON_INFO', 'text': None, 'data': {'isFresh': False}}",,,,"Parkvale School Lofts, 15 Glenville Ave APT B1, Boston, MA 02134",15 Glenville Ave APT B1,MA,Boston,02134,evsuq98j87fy,,False,True,False,True,False,550.0,2022-09-01 00:00:00,1.0,1.0,$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ForRent,"$1,975/mo",For Rent,0.0,1975.0,0,,,1975.0
42.351673_rrc2*-rrc_71.123665,42.351673_rrc2*-rrc_71.123665,1001445178.0,https://photos.zillowstatic.com/fp/53d2c98b47e60ef11d102e2afafb1701-p_e.jpg,True,FOR_RENT,1082 Commonwealth Ave,/b/1082-commonwealth-ave-boston-ma-5Xj93h/,"{'latitude': 42.351673, 'longitude': -71.123665}","[{'price': '$2,000+', 'beds': '1'}, {'price': '$2,800+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,1082 Commonwealth Ave,True,"1082 Commonwealth Ave, Boston, MA",1082 Commonwealth Ave  # 3fe589900,MA,Boston,02215,1dtde5gh5755j,False,False,True,False,True,False,,,,,,,,,,,,,,,,,,0,,,
42.348278_rrc2*-rrc_71.13357,42.348278_rrc2*-rrc_71.13357,1001541726.0,https://photos.zillowstatic.com/fp/565117bab540687e69bcd684054438fa-p_e.jpg,True,FOR_RENT,8 Griggs St,/b/8-griggs-st-boston-ma-5XjyG5/,"{'latitude': 42.348278, 'longitude': -71.13357}","[{'price': '$1,900+', 'beds': '0'}, {'price': '$1,950+', 'beds': '1'}, {'price': '$2,600+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,8 Griggs St,True,"8 Griggs St, Allston, MA",8 Griggs St   # 126e4032f,MA,Allston,02134,5dbk071vv8z3t,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,0,,,
42.349117_rrc2*-rrc_71.131935,42.349117_rrc2*-rrc_71.131935,1041012333.0,https://photos.zillowstatic.com/fp/314ced71b23712465dc741439d0bc136-p_e.jpg,True,FOR_RENT,5 Royce,/b/5-royce-allston-ma-5gZSTf/,"{'latitude': 42.349117, 'longitude': -71.131935}","[{'price': '$1,550+', 'beds': '0'}, {'price': '$1,850+', 'beds': '1'}, {'price': '$2,100+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,5 Royce,True,"5 Royce Rd, Allston, MA",5 Royce Rd   # 8c35522a5,MA,Allston,02134,1kwabey87e80b,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,0,,,
42.34803_rrc2*-rrc_71.13767,42.34803_rrc2*-rrc_71.13767,1002935542.0,https://photos.zillowstatic.com/fp/2d40df65961a3acae8479c3b9bf0ab86-p_e.jpg,True,FOR_RENT,1384 Commonwealth,/b/1384-commonwealth-allston-ma-5XypmJ/,"{'latitude': 42.34803, 'longitude': -71.13767}","[{'price': '$1,525+', 'beds': '0'}, {'price': '$1,800+', 'beds': '1'}, {'price': '$2,150+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,1384 Commonwealth,True,"1384 Commonwealth Ave, Allston, MA",1384 Commonwealth Ave  # 919a29c13,MA,Allston,02134,5af9qc6guwxyt,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,0,,,
