zpid,id,lotId,imgSrc,hasImage,statusType,statusText,detailUrl,latLong,units,variableData,badgeInfo,buildingName,isBuilding,address,addressStreet,addressState,addressCity,addressZipcode,providerListingId,canSaveBuilding,has3DModel,isFeaturedListing,isSaved,list,relaxed,area,availabilityDate,baths,beds,countryCurrency,hasAdditionalAttributions,hasVideo,isHomeRec,isUndisclosedAddress,isUserClaimingOwner,isUserConfirmedClaim,isZillowOwned,pgapt,price,sgapt,shouldShowZestimateAsPrice,unformattedPrice,zestimate,streetViewMetadataURL,streetViewURL,hasOpenHouse,openHouseDescription,openHouseEndDate,openHouseStartDate,best_deal
59096242,59096242,,https://photos.zillowstatic.com/fp/7a7e2ca947794c48d1df92f72cff64f9-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/homedetails/29-Bigelow-St-Brighton-MA-02135/59096242_zpid/,"{'latitude': 42.352825, 'longitude': -71.16739}",,"{'type': 'TIME_ON_INFO', 'text': '2 days ago', 'data': {'isFresh': False}}",,,,"29 Bigelow St, Brighton, MA 02135",29 Bigelow St,MA,Brighton,02135,4ck40zk51p8qb,,False,True,False,True,False,1100,2022-08-01 00:00:00,1.0,2.0,$,False,False,False,False,False,False,False,ForRent,"$2,600/mo",For Rent,False,2600.0,1453800,,,,,,,-1451200.0
59102017,59102017,,https://photos.zillowstatic.com/fp/d28cb2f4d761ad93e0828faf583b00de-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/homedetails/52-Crescent-Ave-Dorchester-MA-02125/59102017_zpid/,"{'latitude': 42.31909, 'longitude': -71.05405}",,"{'type': 'TIME_ON_INFO', 'text': '3 days ago', 'data': {'isFresh': False}}",,,,"52 Crescent Ave, Dorchester, MA 02125",52 Crescent Ave,MA,Dorchester,02125,4rq1vr71gr5dg,,False,True,False,True,False,1077,2022-07-16 00:00:00,1.0,4.0,$,False,False,False,False,False,False,False,ForRent,"$4,500/mo",For Rent,False,4500.0,1293500,,,,,,,-1289000.0
59090720,59090720,,https://photos.zillowstatic.com/fp/abcc643018f8e247c9c8fc19e4329cbe-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/homedetails/46-Dustin-St-Brighton-MA-02135/59090720_zpid/,"{'latitude': 42.35233, 'longitude': -71.14588}",,"{'type': 'TIME_ON_INFO', 'text': '7 hours ago', 'data': {'isFresh': True}}",,,,"46 Dustin St, Brighton, MA 02135",46 Dustin St,MA,Brighton,02135,1v4wpxk2h4y9e,,False,True,False,True,False,2400,2022-09-01 00:00:00,1.0,4.0,$,False,False,False,False,False,False,False,ForRent,"$4,000/mo",For Rent,False,4000.0,1203300,,,,,,,-1199300.0
59142418,59142418,,https://photos.zillowstatic.com/fp/a9bd565a47f6381ae9d8c1a52c256192-p_e.jpg,True,FOR_RENT,House for rent,https://www.zillow.com/homedetails/46-Cerdan-Ave-West-Roxbury-MA-02132/59142418_zpid/,"{'latitude': 42.29119, 'longitude': -71.142365}",,"{'type': 'TIME_ON_INFO', 'text': '7 hours ago', 'data': {'isFresh': True}}",,,,"46 Cerdan Ave, West Roxbury, MA 02132",46 Cerdan Ave,MA,West Roxbury,02132,hv7xcqg57m5j,,False,False,False,True,False,2674,,3.0,5.0,$,False,False,False,False,False,False,False,ForRent,"$5,750/mo",For Rent,False,5750.0,1202300,,,,,,,-1196550.0
59093049,59093049,,https://photos.zillowstatic.com/fp/928f361801255d4b5a12bc81722e94ac-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/homedetails/37-Harriet-St-Brighton-MA-02135/59093049_zpid/,"{'latitude': 42.353497, 'longitude': -71.15612}",,"{'type': 'TIME_ON_INFO', 'text': '1 day ago', 'data': {'isFresh': False}}",,,,"37 Harriet St, Brighton, MA 02135",37 Harriet St,MA,Brighton,02135,2mcna69g7dvp5,,False,True,False,True,False,2412,2022-09-01 00:00:00,1.0,2.0,$,False,False,False,False,False,False,False,ForRent,"$2,600/mo",For Rent,False,2600.0,1136100,,,,,,,-1133500.0
63042157,63042157,,https://photos.zillowstatic.com/fp/502306caf650432657a653dd4383b796-p_e.jpg,True,FOR_RENT,Condo for rent,https://www.zillow.com/homedetails/1313-Washington-St-APT-205-Boston-MA-02118/63042157_zpid/,"{'latitude': 42.34271, 'longitude': -71.06858}",,"{'type': 'TIME_ON_INFO', 'text': '4 days ago', 'data': {'isFresh': False}}",,,,"1313 Washington St APT 205, Boston, MA 02118",1313 Washington St APT 205,MA,Boston,02118,zs6gkzqhtz4f,,False,True,False,True,False,1201,,1.0,2.0,$,False,False,False,False,False,False,False,ForRent,"$5,150/mo",For Rent,False,5150.0,1104400,,,,,,,-1099250.0
59118376,59118376,,https://photos.zillowstatic.com/fp/4268dec6b2a8dd66089b86d39174c5cf-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/homedetails/27-Huntoon-St-Dorchester-MA-02124/59118376_zpid/,"{'latitude': 42.272263, 'longitude': -71.06386}",,"{'type': 'TIME_ON_INFO', 'text': '2 days ago', 'data': {'isFresh': False}}",,,,"27 Huntoon St, Dorchester, MA 02124",27 Huntoon St,MA,Dorchester,02124,h946t80600yx,,False,False,False,True,False,1100,2022-09-01 00:00:00,1.0,3.0,$,False,False,False,False,False,False,False,ForRent,"$2,650/mo",For Rent,False,2650.0,1100900,,,,,,,-1098250.0
59162798,59162798,,https://photos.zillowstatic.com/fp/698ae3b38385a84f5b17625699c8458a-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/homedetails/15-Bayard-St-Allston-MA-02134/59162798_zpid/,"{'latitude': 42.360928, 'longitude': -71.13053}",,"{'type': 'TIME_ON_INFO', 'text': '3 days ago', 'data': {'isFresh': False}}",,,,"15 Bayard St, Allston, MA 02134",15 Bayard St,MA,Allston,02134,4pfcgjfubg1y2,,False,True,False,True,False,1500,2022-09-01 00:00:00,2.0,4.0,$,False,False,False,False,False,False,False,ForRent,"$3,600/mo",For Rent,False,3600.0,1037300,,,,,,,-1033700.0
2086440768,2086440768,,https://photos.zillowstatic.com/fp/353493461a0c77119194aafaa9e39442-p_e.jpg,True,FOR_RENT,Apartment for rent,https://www.zillow.com/homedetails/226-Washington-St-Brighton-MA-02135/2086440768_zpid/,"{'latitude': 42.347046, 'longitude': -71.14878}",,"{'type': 'TIME_ON_INFO', 'text': '2 days ago', 'data': {'isFresh': False}}",,,,"226 Washington St, Brighton, MA 02135",226 Washington St,MA,Brighton,02135,1ubnt0n2uy4pn,,False,True,False,True,False,,2022-09-01 00:00:00,2.0,4.0,$,False,False,False,False,False,False,False,ForRent,"$4,050/mo",For Rent,False,4050.0,1001200,,,,,,,-997150.0
2070584098,2070584098,,https://photos.zillowstatic.com/fp/d517ca0e9c92440cd2fcf597b1223c9a-p_e.jpg,True,FOR_RENT,Condo for rent,https://www.zillow.com/homedetails/181-Beacon-St-8-Boston-MA-02116/2070584098_zpid/,"{'latitude': 42.38104, 'longitude': -71.080055}",,"{'type': 'TIME_ON_INFO', 'text': '83 days ago', 'data': {'isFresh': False}}",,,,"181 Beacon St #8, Boston, MA 02116",181 Beacon St #8,MA,Boston,02116,17e6cn7ddsnbf,,False,True,False,True,False,1200,,2.5,2.0,$,False,False,False,False,False,False,False,ForRent,"$4,000/mo",For Rent,False,4000.0,982200,,,,,,,-978200.0
59183589,59183589,,https://photos.zillowstatic.com/fp/a2efc4cf59deb99df7a7a0e4642afb75-p_e.jpg,True,FOR_RENT,Condo for rent,https://www.zillow.com/homedetails/24-Worcester-Sq-APT-6-Boston-MA-02118/59183589_zpid/,"{'latitude': 42.336697, 'longitude': -71.07424}",,"{'type': 'TIME_ON_INFO', 'text': '2 days ago', 'data': {'isFresh': False}}",,,,"24 Worcester Sq APT 6, Boston, MA 02118",24 Worcester Sq APT 6,MA,Boston,02118,26xpk0rerkuw1,,False,True,False,True,False,962,,1.0,2.0,$,False,False,False,False,False,False,False,ForRent,"$4,200/mo",For Rent,False,4200.0,959700,,,,,,,-955500.0
59151596,59151596,,https://photos.zillowstatic.com/fp/fb8c59f737c9fd689e526f0e33f77c02-p_e.jpg,True,FOR_RENT,House for rent,https://www.zillow.com/homedetails/31-Telegraph-St-South-Boston-MA-02127/59151596_zpid/,"{'latitude': 42.332783, 'longitude': -71.049545}",,"{'type': 'TIME_ON_INFO', 'text': '3 days ago', 'data': {'isFresh': False}}",,,,"31 Telegraph St, South Boston, MA 02127",31 Telegraph St,MA,South Boston,02127,15mnc57hr0xau,,False,False,False,True,False,2446,2022-09-09 00:00:00,3.0,5.0,$,False,False,False,False,False,False,False,ForRent,"$5,995/mo",For Rent,False,5995.0,951400,,,,,,,-945405.0
2111935498,2111935498,,https://photos.zillowstatic.com/fp/7683897837ad8a1d209f9f35e0ceaed0-p_e.jpg,True,FOR_RENT,Townhouse for rent,https://www.zillow.com/homedetails/7-Justin-Rd-Boston-MA-02135/2111935498_zpid/,"{'latitude': 42.353004, 'longitude': -71.16809}",,"{'type': 'TIME_ON_INFO', 'text': '138 days ago', 'data': {'isFresh': False}}",,,,"7 Justin Rd, Boston, MA 02135",7 Justin Rd,MA,Boston,02135,1dymnckg1vjr0,,False,False,False,True,False,2000,2022-09-01 00:00:00,2.0,5.0,$,False,False,False,False,False,False,False,ForRent,"$4,600/mo",For Rent,False,4600.0,939900,,,,,,,-935300.0
